gender,discipline,result,score
Man,600 Metres Short Track,1:39.90,377
Man,800 Metres,2:18.36,377
Man,800 Metres Short Track,2:20.29,377
Man,1000 Metres,2:59.55,377
Man,1000 Metres Short Track,3:02.46,377
Man,600 Metres,1:38.27,376
Man,600 Metres Short Track,1:39.94,376
Man,800 Metres,2:18.42,376
Man,800 Metres Short Track,2:20.35,376
Man,1000 Metres,2:59.63,376
Man,1000 Metres Short Track,3:02.54,376
Man,600 Metres,1:38.31,375
Man,600 Metres Short Track,1:39.99,375
Man,800 Metres,2:18.48,375
Man,800 Metres Short Track,2:20.41,375
Man,1000 Metres,2:59.71,375
Man,1000 Metres Short Track,3:02.62,375
Man,600 Metres,1:38.36,374
Man,600 Metres Short Track,1:40.03,374
Man,800 Metres,2:18.53,374
Man,800 Metres Short Track,2:20.47,374
Man,1000 Metres,2:59.79,374
Man,1000 Metres Short Track,3:02.69,374
Man,600 Metres,1:38.40,373
Man,600 Metres Short Track,1:40.07,373
Man,800 Metres,2:18.59,373
Man,800 Metres Short Track,2:20.53,373
Man,1000 Metres,2:59.86,373
Man,1000 Metres Short Track,3:02.77,373
Man,600 Metres,1:38.44,372
Man,600 Metres Short Track,1:40.11,372
Man,800 Metres,2:18.65,372
Man,800 Metres Short Track,2:20.58,372
Man,1000 Metres,2:59.94,372
Man,1000 Metres Short Track,3:02.85,372
Man,600 Metres,1:38.48,371
Man,600 Metres Short Track,1:40.15,371
Man,800 Metres,2:18.71,371
Man,800 Metres Short Track,2:20.64,371
Man,1000 Metres,3:00.02,371
Man,1000 Metres Short Track,3:02.92,371
Man,600 Metres,1:38.52,370
Man,600 Metres Short Track,1:40.19,370
Man,800 Metres,2:18.77,370
Man,800 Metres Short Track,2:20.70,370
Man,1000 Metres,3:00.10,370
Man,1000 Metres Short Track,3:03.00,370
Man,600 Metres,1:38.56,369
Man,600 Metres Short Track,1:40.24,369
Man,800 Metres,2:18.83,369
Man,800 Metres Short Track,2:20.76,369
Man,1000 Metres,3:00.17,369
Man,1000 Metres Short Track,3:03.08,369
Man,600 Metres,1:38.61,368
Man,600 Metres Short Track,1:40.28,368
Man,800 Metres,2:18.88,368
Man,800 Metres Short Track,2:20.82,368
Man,1000 Metres,3:00.25,368
Man,1000 Metres Short Track,3:03.15,368
Man,600 Metres,1:38.65,367
Man,600 Metres Short Track,1:40.32,367
Man,800 Metres,2:18.94,367
Man,800 Metres Short Track,2:20.88,367
Man,1000 Metres,3:00.33,367
Man,1000 Metres Short Track,3:03.23,367
Man,600 Metres,1:38.69,366
Man,600 Metres Short Track,1:40.36,366
Man,800 Metres,2:19.00,366
Man,800 Metres Short Track,2:20.94,366
Man,1000 Metres,3:00.41,366
Man,1000 Metres Short Track,3:03.31,366
Man,600 Metres,1:38.73,365
Man,600 Metres Short Track,1:40.40,365
Man,800 Metres,2:19.06,365
Man,800 Metres Short Track,2:20.99,365
Man,1000 Metres,3:00.48,365
Man,1000 Metres Short Track,3:03.39,365
Man,600 Metres,1:38.77,364
Man,600 Metres Short Track,1:40.44,364
Man,800 Metres,2:19.12,364
Man,800 Metres Short Track,2:21.05,364
Man,1000 Metres,3:00.56,364
Man,1000 Metres Short Track,3:03.46,364
Man,600 Metres,1:38.82,363
Man,600 Metres Short Track,1:40.49,363
Man,800 Metres,2:19.18,363
Man,800 Metres Short Track,2:21.11,363
Man,1000 Metres,3:00.64,363
Man,1000 Metres Short Track,3:03.54,363
Man,600 Metres,1:38.86,362
Man,600 Metres Short Track,1:40.53,362
Man,800 Metres,2:19.24,362
Man,800 Metres Short Track,2:21.17,362
Man,1000 Metres,3:00.72,362
Man,1000 Metres Short Track,3:03.62,362
Man,600 Metres,1:38.90,361
Man,600 Metres Short Track,1:40.57,361
Man,800 Metres,2:19.30,361
Man,800 Metres Short Track,2:21.23,361
Man,1000 Metres,3:00.80,361
Man,1000 Metres Short Track,3:03.70,361
Man,600 Metres,1:38.94,360
Man,600 Metres Short Track,1:40.61,360
Man,800 Metres,2:19.35,360
Man,800 Metres Short Track,2:21.29,360
Man,1000 Metres,3:00.88,360
Man,1000 Metres Short Track,3:03.78,360
Man,600 Metres,1:38.99,359
Man,600 Metres Short Track,1:40.66,359
Man,800 Metres,2:19.41,359
Man,800 Metres Short Track,2:21.35,359
Man,1000 Metres,3:00.95,359
Man,1000 Metres Short Track,3:03.85,359
Man,600 Metres,1:39.03,358
Man,600 Metres Short Track,1:40.70,358
Man,800 Metres,2:19.47,358
Man,800 Metres Short Track,2:21.41,358
Man,1000 Metres,3:01.03,358
Man,1000 Metres Short Track,3:03.93,358
Man,600 Metres,1:39.07,357
Man,600 Metres Short Track,1:40.74,357
Man,800 Metres,2:19.53,357
Man,800 Metres Short Track,2:21.47,357
Man,1000 Metres,3:01.11,357
Man,1000 Metres Short Track,3:04.01,357
Man,600 Metres,1:39.11,356
Man,600 Metres Short Track,1:40.78,356
Man,800 Metres,2:19.59,356
Man,800 Metres Short Track,2:21.53,356
Man,1000 Metres,3:01.19,356
Man,1000 Metres Short Track,3:04.09,356
Man,600 Metres,1:39.16,355
Man,600 Metres Short Track,1:40.82,355
Man,800 Metres,2:19.65,355
Man,800 Metres Short Track,2:21.59,355
Man,1000 Metres,3:01.27,355
Man,1000 Metres Short Track,3:04.17,355
Man,600 Metres,1:39.20,354
Man,600 Metres Short Track,1:40.87,354
Man,800 Metres,2:19.71,354
Man,800 Metres Short Track,2:21.65,354
Man,1000 Metres,3:01.35,354
Man,1000 Metres Short Track,3:04.25,354
Man,600 Metres,1:39.24,353
Man,600 Metres Short Track,1:40.91,353
Man,800 Metres,2:19.77,353
Man,800 Metres Short Track,2:21.71,353
Man,1000 Metres,3:01.43,353
Man,1000 Metres Short Track,3:04.32,353
Man,600 Metres,1:39.29,352
Man,600 Metres Short Track,1:40.95,352
Man,800 Metres,2:19.83,352
Man,800 Metres Short Track,2:21.77,352
Man,1000 Metres,3:01.51,352
Man,1000 Metres Short Track,3:04.40,352
Man,600 Metres,1:39.33,351
Man,600 Metres Short Track,1:41.00,351
Man,800 Metres,2:19.89,351
Man,800 Metres Short Track,2:21.83,351
Man,1000 Metres,3:01.59,351
Man,1000 Metres Short Track,3:04.48,351
Man,600 Metres,1:39.37,350
Man,600 Metres Short Track,1:41.04,350
Man,800 Metres,2:19.95,350
Man,800 Metres Short Track,2:21.89,350
Man,1000 Metres,3:01.67,350
Man,1000 Metres Short Track,3:04.56,350
Man,600 Metres,1:39.41,349
Man,600 Metres Short Track,1:41.08,349
Man,800 Metres,2:20.01,349
Man,800 Metres Short Track,2:21.95,349
Man,1000 Metres,3:01.75,349
Man,1000 Metres Short Track,3:04.64,349
Man,600 Metres,1:39.46,348
Man,600 Metres Short Track,1:41.12,348
Man,800 Metres,2:20.07,348
Man,800 Metres Short Track,2:22.01,348
Man,1000 Metres,3:01.83,348
Man,1000 Metres Short Track,3:04.72,348
Man,600 Metres,1:39.50,347
Man,600 Metres Short Track,1:41.17,347
Man,800 Metres,2:20.13,347
Man,800 Metres Short Track,2:22.07,347
Man,1000 Metres,3:01.91,347
Man,1000 Metres Short Track,3:04.80,347
Man,600 Metres,1:39.54,346
Man,600 Metres Short Track,1:41.21,346
Man,800 Metres,2:20.19,346
Man,800 Metres Short Track,2:22.13,346
Man,1000 Metres,3:01.99,346
Man,1000 Metres Short Track,3:04.88,346
Man,600 Metres,1:39.59,345
Man,600 Metres Short Track,1:41.25,345
Man,800 Metres,2:20.25,345
Man,800 Metres Short Track,2:22.19,345
Man,1000 Metres,3:02.07,345
Man,1000 Metres Short Track,3:04.96,345
Man,600 Metres,1:39.63,344
Man,600 Metres Short Track,1:41.30,344
Man,800 Metres,2:20.31,344
Man,800 Metres Short Track,2:22.25,344
Man,1000 Metres,3:02.15,344
Man,1000 Metres Short Track,3:05.04,344
Man,600 Metres,1:39.67,343
Man,600 Metres Short Track,1:41.34,343
Man,800 Metres,2:20.37,343
Man,800 Metres Short Track,2:22.31,343
Man,1000 Metres,3:02.23,343
Man,1000 Metres Short Track,3:05.12,343
Man,600 Metres,1:39.72,342
Man,600 Metres Short Track,1:41.38,342
Man,800 Metres,2:20.43,342
Man,800 Metres Short Track,2:22.37,342
Man,1000 Metres,3:02.31,342
Man,1000 Metres Short Track,3:05.20,342
Man,600 Metres,1:39.76,341
Man,600 Metres Short Track,1:41.43,341
Man,800 Metres,2:20.50,341
Man,800 Metres Short Track,2:22.43,341
Man,1000 Metres,3:02.39,341
Man,1000 Metres Short Track,3:05.28,341
Man,600 Metres,1:39.80,340
Man,600 Metres Short Track,1:41.47,340
Man,800 Metres,2:20.56,340
Man,800 Metres Short Track,2:22.49,340
Man,1000 Metres,3:02.47,340
Man,1000 Metres Short Track,3:05.36,340
Man,600 Metres,1:39.85,339
Man,600 Metres Short Track,1:41.51,339
Man,800 Metres,2:20.62,339
Man,800 Metres Short Track,2:22.55,339
Man,1000 Metres,3:02.55,339
Man,1000 Metres Short Track,3:05.44,339
Man,600 Metres,1:39.89,338
Man,600 Metres Short Track,1:41.56,338
Man,800 Metres,2:20.68,338
Man,800 Metres Short Track,2:22.62,338
Man,1000 Metres,3:02.63,338
Man,1000 Metres Short Track,3:05.52,338
Man,600 Metres,1:39.94,337
Man,600 Metres Short Track,1:41.60,337
Man,800 Metres,2:20.74,337
Man,800 Metres Short Track,2:22.68,337
Man,1000 Metres,3:02.71,337
Man,1000 Metres Short Track,3:05.60,337
Man,600 Metres,1:39.98,336
Man,600 Metres Short Track,1:41.64,336
Man,800 Metres,2:20.80,336
Man,800 Metres Short Track,2:22.74,336
Man,1000 Metres,3:02.80,336
Man,1000 Metres Short Track,3:05.68,336
Man,600 Metres,1:40.02,335
Man,600 Metres Short Track,1:41.69,335
Man,800 Metres,2:20.86,335
Man,800 Metres Short Track,2:22.80,335
Man,1000 Metres,3:02.88,335
Man,1000 Metres Short Track,3:05.76,335
Man,600 Metres,1:40.07,334
Man,600 Metres Short Track,1:41.73,334
Man,800 Metres,2:20.92,334
Man,800 Metres Short Track,2:22.86,334
Man,1000 Metres,3:02.96,334
Man,1000 Metres Short Track,3:05.84,334
Man,600 Metres,1:40.11,333
Man,600 Metres Short Track,1:41.77,333
Man,800 Metres,2:20.99,333
Man,800 Metres Short Track,2:22.92,333
Man,1000 Metres,3:03.04,333
Man,1000 Metres Short Track,3:05.92,333
Man,600 Metres,1:40.16,332
Man,600 Metres Short Track,1:41.82,332
Man,800 Metres,2:21.05,332
Man,800 Metres Short Track,2:22.98,332
Man,1000 Metres,3:03.12,332
Man,1000 Metres Short Track,3:06.01,332
Man,600 Metres,1:40.20,331
Man,600 Metres Short Track,1:41.86,331
Man,800 Metres,2:21.11,331
Man,800 Metres Short Track,2:23.05,331
Man,1000 Metres,3:03.20,331
Man,1000 Metres Short Track,3:06.09,331
Man,600 Metres,1:40.24,330
Man,600 Metres Short Track,1:41.91,330
Man,800 Metres,2:21.17,330
Man,800 Metres Short Track,2:23.11,330
Man,1000 Metres,3:03.29,330
Man,1000 Metres Short Track,3:06.17,330
Man,600 Metres,1:40.29,329
Man,600 Metres Short Track,1:41.95,329
Man,800 Metres,2:21.23,329
Man,800 Metres Short Track,2:23.17,329
Man,1000 Metres,3:03.37,329
Man,1000 Metres Short Track,3:06.25,329
Man,600 Metres,1:40.33,328
Man,600 Metres Short Track,1:41.99,328
Man,800 Metres,2:21.29,328
Man,800 Metres Short Track,2:23.23,328
Man,1000 Metres,3:03.45,328
Man,1000 Metres Short Track,3:06.33,328
Man,600 Metres,1:40.38,327
Man,600 Metres Short Track,1:42.04,327
Man,800 Metres,2:21.36,327
Man,800 Metres Short Track,2:23.29,327
Man,1000 Metres,3:03.53,327
Man,1000 Metres Short Track,3:06.41,327
Man,600 Metres,1:40.42,326
Man,600 Metres Short Track,1:42.08,326
Man,800 Metres,2:21.42,326
Man,800 Metres Short Track,2:23.36,326
Man,1000 Metres,3:03.62,326
Man,1000 Metres Short Track,3:06.50,326
Man,600 Metres,1:40.47,325
Man,600 Metres Short Track,1:42.13,325
Man,800 Metres,2:21.48,325
Man,800 Metres Short Track,2:23.42,325
Man,1000 Metres,3:03.70,325
Man,1000 Metres Short Track,3:06.58,325
Man,600 Metres,1:40.51,324
Man,600 Metres Short Track,1:42.17,324
Man,800 Metres,2:21.54,324
Man,800 Metres Short Track,2:23.48,324
Man,1000 Metres,3:03.78,324
Man,1000 Metres Short Track,3:06.66,324
Man,600 Metres,1:40.56,323
Man,600 Metres Short Track,1:42.22,323
Man,800 Metres,2:21.61,323
Man,800 Metres Short Track,2:23.54,323
Man,1000 Metres,3:03.86,323
Man,1000 Metres Short Track,3:06.74,323
Man,600 Metres,1:40.60,322
Man,600 Metres Short Track,1:42.26,322
Man,800 Metres,2:21.67,322
Man,800 Metres Short Track,2:23.61,322
Man,1000 Metres,3:03.95,322
Man,1000 Metres Short Track,3:06.83,322
Man,600 Metres,1:40.65,321
Man,600 Metres Short Track,1:42.31,321
Man,800 Metres,2:21.73,321
Man,800 Metres Short Track,2:23.67,321
Man,1000 Metres,3:04.03,321
Man,1000 Metres Short Track,3:06.91,321
Man,600 Metres,1:40.69,320
Man,600 Metres Short Track,1:42.35,320
Man,800 Metres,2:21.79,320
Man,800 Metres Short Track,2:23.73,320
Man,1000 Metres,3:04.11,320
Man,1000 Metres Short Track,3:06.99,320
Man,600 Metres,1:40.74,319
Man,600 Metres Short Track,1:42.40,319
Man,800 Metres,2:21.86,319
Man,800 Metres Short Track,2:23.80,319
Man,1000 Metres,3:04.20,319
Man,1000 Metres Short Track,3:07.07,319
Man,600 Metres,1:40.78,318
Man,600 Metres Short Track,1:42.44,318
Man,800 Metres,2:21.92,318
Man,800 Metres Short Track,2:23.86,318
Man,1000 Metres,3:04.28,318
Man,1000 Metres Short Track,3:07.16,318
Man,600 Metres,1:40.83,317
Man,600 Metres Short Track,1:42.48,317
Man,800 Metres,2:21.98,317
Man,800 Metres Short Track,2:23.92,317
Man,1000 Metres,3:04.37,317
Man,1000 Metres Short Track,3:07.24,317
Man,600 Metres,1:40.87,316
Man,600 Metres Short Track,1:42.53,316
Man,800 Metres,2:22.05,316
Man,800 Metres Short Track,2:23.98,316
Man,1000 Metres,3:04.45,316
Man,1000 Metres Short Track,3:07.32,316
Man,600 Metres,1:40.92,315
Man,600 Metres Short Track,1:42.58,315
Man,800 Metres,2:22.11,315
Man,800 Metres Short Track,2:24.05,315
Man,1000 Metres,3:04.53,315
Man,1000 Metres Short Track,3:07.41,315
Man,600 Metres,1:40.96,314
Man,600 Metres Short Track,1:42.62,314
Man,800 Metres,2:22.17,314
Man,800 Metres Short Track,2:24.11,314
Man,1000 Metres,3:04.62,314
Man,1000 Metres Short Track,3:07.49,314
Man,600 Metres,1:41.01,313
Man,600 Metres Short Track,1:42.67,313
Man,800 Metres,2:22.24,313
Man,800 Metres Short Track,2:24.18,313
Man,1000 Metres,3:04.70,313
Man,1000 Metres Short Track,3:07.57,313
Man,600 Metres,1:41.05,312
Man,600 Metres Short Track,1:42.71,312
Man,800 Metres,2:22.30,312
Man,800 Metres Short Track,2:24.24,312
Man,1000 Metres,3:04.79,312
Man,1000 Metres Short Track,3:07.66,312
Man,600 Metres,1:41.10,311
Man,600 Metres Short Track,1:42.76,311
Man,800 Metres,2:22.36,311
Man,800 Metres Short Track,2:24.30,311
Man,1000 Metres,3:04.87,311
Man,1000 Metres Short Track,3:07.74,311
Man,600 Metres,1:41.14,310
Man,600 Metres Short Track,1:42.80,310
Man,800 Metres,2:22.43,310
Man,800 Metres Short Track,2:24.37,310
Man,1000 Metres,3:04.95,310
Man,1000 Metres Short Track,3:07.83,310
Man,600 Metres,1:41.19,309
Man,600 Metres Short Track,1:42.85,309
Man,800 Metres,2:22.49,309
Man,800 Metres Short Track,2:24.43,309
Man,1000 Metres,3:05.04,309
Man,1000 Metres Short Track,3:07.91,309
Man,600 Metres,1:41.24,308
Man,600 Metres Short Track,1:42.89,308
Man,800 Metres,2:22.55,308
Man,800 Metres Short Track,2:24.49,308
Man,1000 Metres,3:05.12,308
Man,1000 Metres Short Track,3:07.99,308
Man,600 Metres,1:41.28,307
Man,600 Metres Short Track,1:42.94,307
Man,800 Metres,2:22.62,307
Man,800 Metres Short Track,2:24.56,307
Man,1000 Metres,3:05.21,307
Man,1000 Metres Short Track,3:08.08,307
Man,600 Metres,1:41.33,306
Man,600 Metres Short Track,1:42.98,306
Man,800 Metres,2:22.68,306
Man,800 Metres Short Track,2:24.62,306
Man,1000 Metres,3:05.29,306
Man,1000 Metres Short Track,3:08.16,306
Man,600 Metres,1:41.37,305
Man,600 Metres Short Track,1:43.03,305
Man,800 Metres,2:22.75,305
Man,800 Metres Short Track,2:24.69,305
Man,1000 Metres,3:05.38,305
Man,1000 Metres Short Track,3:08.25,305
Man,600 Metres,1:41.42,304
Man,600 Metres Short Track,1:43.08,304
Man,800 Metres,2:22.81,304
Man,800 Metres Short Track,2:24.75,304
Man,1000 Metres,3:05.47,304
Man,1000 Metres Short Track,3:08.33,304
Man,600 Metres,1:41.47,303
Man,600 Metres Short Track,1:43.12,303
Man,800 Metres,2:22.88,303
Man,800 Metres Short Track,2:24.82,303
Man,1000 Metres,3:05.55,303
Man,1000 Metres Short Track,3:08.42,303
Man,600 Metres,1:41.51,302
Man,600 Metres Short Track,1:43.17,302
Man,800 Metres,2:22.94,302
Man,800 Metres Short Track,2:24.88,302
Man,1000 Metres,3:05.64,302
Man,1000 Metres Short Track,3:08.50,302
Man,600 Metres,1:41.56,301
Man,600 Metres Short Track,1:43.21,301
Man,800 Metres,2:23.01,301
Man,800 Metres Short Track,2:24.95,301
Man,1000 Metres,3:05.72,301
Man,1000 Metres Short Track,3:08.59,301
Man,600 Metres,1:41.61,300
Man,600 Metres Short Track,1:43.26,300
Man,800 Metres,2:23.07,300
Man,800 Metres Short Track,2:25.01,300
Man,1000 Metres,3:05.81,300
Man,1000 Metres Short Track,3:08.67,300
Man,600 Metres,1:41.65,299
Man,600 Metres Short Track,1:43.31,299
Man,800 Metres,2:23.13,299
Man,800 Metres Short Track,2:25.08,299
Man,1000 Metres,3:05.90,299
Man,1000 Metres Short Track,3:08.76,299
Man,600 Metres,1:41.70,298
Man,600 Metres Short Track,1:43.35,298
Man,800 Metres,2:23.20,298
Man,800 Metres Short Track,2:25.14,298
Man,1000 Metres,3:05.98,298
Man,1000 Metres Short Track,3:08.84,298
Man,600 Metres,1:41.75,297
Man,600 Metres Short Track,1:43.40,297
Man,800 Metres,2:23.27,297
Man,800 Metres Short Track,2:25.21,297
Man,1000 Metres,3:06.07,297
Man,1000 Metres Short Track,3:08.93,297
Man,600 Metres,1:41.79,296
Man,600 Metres Short Track,1:43.45,296
Man,800 Metres,2:23.33,296
Man,800 Metres Short Track,2:25.27,296
Man,1000 Metres,3:06.15,296
Man,1000 Metres Short Track,3:09.02,296
Man,600 Metres,1:41.84,295
Man,600 Metres Short Track,1:43.49,295
Man,800 Metres,2:23.40,295
Man,800 Metres Short Track,2:25.34,295
Man,1000 Metres,3:06.24,295
Man,1000 Metres Short Track,3:09.10,295
Man,600 Metres,1:41.89,294
Man,600 Metres Short Track,1:43.54,294
Man,800 Metres,2:23.46,294
Man,800 Metres Short Track,2:25.40,294
Man,1000 Metres,3:06.33,294
Man,1000 Metres Short Track,3:09.19,294
Man,600 Metres,1:41.93,293
Man,600 Metres Short Track,1:43.59,293
Man,800 Metres,2:23.53,293
Man,800 Metres Short Track,2:25.47,293
Man,1000 Metres,3:06.42,293
Man,1000 Metres Short Track,3:09.28,293
Man,600 Metres,1:41.98,292
Man,600 Metres Short Track,1:43.63,292
Man,800 Metres,2:23.59,292
Man,800 Metres Short Track,2:25.53,292
Man,1000 Metres,3:06.50,292
Man,1000 Metres Short Track,3:09.36,292
Man,600 Metres,1:42.03,291
Man,600 Metres Short Track,1:43.68,291
Man,800 Metres,2:23.66,291
Man,800 Metres Short Track,2:25.60,291
Man,1000 Metres,3:06.59,291
Man,1000 Metres Short Track,3:09.45,291
Man,600 Metres,1:42.07,290
Man,600 Metres Short Track,1:43.73,290
Man,800 Metres,2:23.72,290
Man,800 Metres Short Track,2:25.67,290
Man,1000 Metres,3:06.68,290
Man,1000 Metres Short Track,3:09.54,290
Man,600 Metres,1:42.12,289
Man,600 Metres Short Track,1:43.77,289
Man,800 Metres,2:23.79,289
Man,800 Metres Short Track,2:25.73,289
Man,1000 Metres,3:06.77,289
Man,1000 Metres Short Track,3:09.62,289
Man,600 Metres,1:42.17,288
Man,600 Metres Short Track,1:43.82,288
Man,800 Metres,2:23.86,288
Man,800 Metres Short Track,2:25.80,288
Man,1000 Metres,3:06.85,288
Man,1000 Metres Short Track,3:09.71,288
Man,600 Metres,1:42.22,287
Man,600 Metres Short Track,1:43.87,287
Man,800 Metres,2:23.92,287
Man,800 Metres Short Track,2:25.86,287
Man,1000 Metres,3:06.94,287
Man,1000 Metres Short Track,3:09.80,287
Man,600 Metres,1:42.26,286
Man,600 Metres Short Track,1:43.91,286
Man,800 Metres,2:23.99,286
Man,800 Metres Short Track,2:25.93,286
Man,1000 Metres,3:07.03,286
Man,1000 Metres Short Track,3:09.89,286
Man,600 Metres,1:42.31,285
Man,600 Metres Short Track,1:43.96,285
Man,800 Metres,2:24.06,285
Man,800 Metres Short Track,2:26.00,285
Man,1000 Metres,3:07.12,285
Man,1000 Metres Short Track,3:09.97,285
Man,600 Metres,1:42.36,284
Man,600 Metres Short Track,1:44.01,284
Man,800 Metres,2:24.12,284
Man,800 Metres Short Track,2:26.06,284
Man,1000 Metres,3:07.21,284
Man,1000 Metres Short Track,3:10.06,284
Man,600 Metres,1:42.41,283
Man,600 Metres Short Track,1:44.06,283
Man,800 Metres,2:24.19,283
Man,800 Metres Short Track,2:26.13,283
Man,1000 Metres,3:07.30,283
Man,1000 Metres Short Track,3:10.15,283
Man,600 Metres,1:42.46,282
Man,600 Metres Short Track,1:44.10,282
Man,800 Metres,2:24.26,282
Man,800 Metres Short Track,2:26.20,282
Man,1000 Metres,3:07.38,282
Man,1000 Metres Short Track,3:10.24,282
Man,600 Metres,1:42.50,281
Man,600 Metres Short Track,1:44.15,281
Man,800 Metres,2:24.32,281
Man,800 Metres Short Track,2:26.27,281
Man,1000 Metres,3:07.47,281
Man,1000 Metres Short Track,3:10.33,281
Man,600 Metres,1:42.55,280
Man,600 Metres Short Track,1:44.20,280
Man,800 Metres,2:24.39,280
Man,800 Metres Short Track,2:26.33,280
Man,1000 Metres,3:07.56,280
Man,1000 Metres Short Track,3:10.41,280
Man,600 Metres,1:42.60,279
Man,600 Metres Short Track,1:44.25,279
Man,800 Metres,2:24.46,279
Man,800 Metres Short Track,2:26.40,279
Man,1000 Metres,3:07.65,279
Man,1000 Metres Short Track,3:10.50,279
Man,600 Metres,1:42.65,278
Man,600 Metres Short Track,1:44.30,278
Man,800 Metres,2:24.52,278
Man,800 Metres Short Track,2:26.47,278
Man,1000 Metres,3:07.74,278
Man,1000 Metres Short Track,3:10.59,278
Man,600 Metres,1:42.70,277
Man,600 Metres Short Track,1:44.34,277
Man,800 Metres,2:24.59,277
Man,800 Metres Short Track,2:26.54,277
Man,1000 Metres,3:07.83,277
Man,1000 Metres Short Track,3:10.68,277
Man,600 Metres,1:42.74,276
Man,600 Metres Short Track,1:44.39,276
Man,800 Metres,2:24.66,276
Man,800 Metres Short Track,2:26.60,276
Man,1000 Metres,3:07.92,276
Man,1000 Metres Short Track,3:10.77,276
Man,600 Metres,1:42.79,275
Man,600 Metres Short Track,1:44.44,275
Man,800 Metres,2:24.73,275
Man,800 Metres Short Track,2:26.67,275
Man,1000 Metres,3:08.01,275
Man,1000 Metres Short Track,3:10.86,275
Man,600 Metres,1:42.84,274
Man,600 Metres Short Track,1:44.49,274
Man,800 Metres,2:24.80,274
Man,800 Metres Short Track,2:26.74,274
Man,1000 Metres,3:08.10,274
Man,1000 Metres Short Track,3:10.95,274
Man,600 Metres,1:42.89,273
Man,600 Metres Short Track,1:44.54,273
Man,800 Metres,2:24.86,273
Man,800 Metres Short Track,2:26.81,273
Man,1000 Metres,3:08.19,273
Man,1000 Metres Short Track,3:11.04,273
Man,600 Metres,1:42.94,272
Man,600 Metres Short Track,1:44.59,272
Man,800 Metres,2:24.93,272
Man,800 Metres Short Track,2:26.87,272
Man,1000 Metres,3:08.28,272
Man,1000 Metres Short Track,3:11.13,272
Man,600 Metres,1:42.99,271
Man,600 Metres Short Track,1:44.63,271
Man,800 Metres,2:25.00,271
Man,800 Metres Short Track,2:26.94,271
Man,1000 Metres,3:08.37,271
Man,1000 Metres Short Track,3:11.22,271
Man,600 Metres,1:43.04,270
Man,600 Metres Short Track,1:44.68,270
Man,800 Metres,2:25.07,270
Man,800 Metres Short Track,2:27.01,270
Man,1000 Metres,3:08.46,270
Man,1000 Metres Short Track,3:11.31,270
Man,600 Metres,1:43.09,269
Man,600 Metres Short Track,1:44.73,269
Man,800 Metres,2:25.14,269
Man,800 Metres Short Track,2:27.08,269
Man,1000 Metres,3:08.55,269
Man,1000 Metres Short Track,3:11.40,269
Man,600 Metres,1:43.14,268
Man,600 Metres Short Track,1:44.78,268
Man,800 Metres,2:25.20,268
Man,800 Metres Short Track,2:27.15,268
Man,1000 Metres,3:08.64,268
Man,1000 Metres Short Track,3:11.49,268
Man,600 Metres,1:43.18,267
Man,600 Metres Short Track,1:44.83,267
Man,800 Metres,2:25.27,267
Man,800 Metres Short Track,2:27.22,267
Man,1000 Metres,3:08.73,267
Man,1000 Metres Short Track,3:11.58,267
Man,600 Metres,1:43.23,266
Man,600 Metres Short Track,1:44.88,266
Man,800 Metres,2:25.34,266
Man,800 Metres Short Track,2:27.29,266
Man,1000 Metres,3:08.83,266
Man,1000 Metres Short Track,3:11.67,266
Man,600 Metres,1:43.28,265
Man,600 Metres Short Track,1:44.93,265
Man,800 Metres,2:25.41,265
Man,800 Metres Short Track,2:27.36,265
Man,1000 Metres,3:08.92,265
Man,1000 Metres Short Track,3:11.76,265
Man,600 Metres,1:43.33,264
Man,600 Metres Short Track,1:44.98,264
Man,800 Metres,2:25.48,264
Man,800 Metres Short Track,2:27.42,264
Man,1000 Metres,3:09.01,264
Man,1000 Metres Short Track,3:11.85,264
Man,600 Metres,1:43.38,263
Man,600 Metres Short Track,1:45.03,263
Man,800 Metres,2:25.55,263
Man,800 Metres Short Track,2:27.49,263
Man,1000 Metres,3:09.10,263
Man,1000 Metres Short Track,3:11.94,263
Man,600 Metres,1:43.43,262
Man,600 Metres Short Track,1:45.08,262
Man,800 Metres,2:25.62,262
Man,800 Metres Short Track,2:27.56,262
Man,1000 Metres,3:09.19,262
Man,1000 Metres Short Track,3:12.03,262
Man,600 Metres,1:43.48,261
Man,600 Metres Short Track,1:45.13,261
Man,800 Metres,2:25.69,261
Man,800 Metres Short Track,2:27.63,261
Man,1000 Metres,3:09.29,261
Man,1000 Metres Short Track,3:12.13,261
Man,600 Metres,1:43.53,260
Man,600 Metres Short Track,1:45.18,260
Man,800 Metres,2:25.76,260
Man,800 Metres Short Track,2:27.70,260
Man,1000 Metres,3:09.38,260
Man,1000 Metres Short Track,3:12.22,260
Man,600 Metres,1:43.58,259
Man,600 Metres Short Track,1:45.22,259
Man,800 Metres,2:25.83,259
Man,800 Metres Short Track,2:27.77,259
Man,1000 Metres,3:09.47,259
Man,1000 Metres Short Track,3:12.31,259
Man,600 Metres,1:43.63,258
Man,600 Metres Short Track,1:45.27,258
Man,800 Metres,2:25.90,258
Man,800 Metres Short Track,2:27.84,258
Man,1000 Metres,3:09.56,258
Man,1000 Metres Short Track,3:12.40,258
Man,600 Metres,1:43.68,257
Man,600 Metres Short Track,1:45.32,257
Man,800 Metres,2:25.97,257
Man,800 Metres Short Track,2:27.91,257
