gender,discipline,result,score
Man,2 Miles Short Track,7:49.34,1381
Man,5000 Metres,12:14.93,1381
Man,5000 Metres Short Track,12:29.92,1381
Man,10000 Metres,25:26.57,1381
Man,3000 Metres,7:08.50,1380
Man,3000 Metres Short Track,7:12.78,1380
Man,2 Miles,7:41.74,1380
Man,2 Miles Short Track,7:49.50,1380
Man,5000 Metres,12:15.18,1380
Man,5000 Metres Short Track,12:30.17,1380
Man,10000 Metres,25:27.16,1380
Man,3000 Metres,7:08.65,1379
Man,3000 Metres Short Track,7:12.93,1379
Man,2 Miles,7:41.90,1379
Man,2 Miles Short Track,7:49.66,1379
Man,5000 Metres,12:15.44,1379
Man,5000 Metres Short Track,12:30.42,1379
Man,10000 Metres,25:27.75,1379
Man,3000 Metres,7:08.80,1378
Man,3000 Metres Short Track,7:13.07,1378
Man,2 Miles,7:42.06,1378
Man,2 Miles Short Track,7:49.82,1378
Man,5000 Metres,12:15.69,1378
Man,5000 Metres Short Track,12:30.67,1378
Man,10000 Metres,25:28.34,1378
Man,3000 Metres,7:08.95,1377
Man,3000 Metres Short Track,7:13.22,1377
Man,2 Miles,7:42.22,1377
Man,2 Miles Short Track,7:49.98,1377
Man,5000 Metres,12:15.95,1377
Man,5000 Metres Short Track,12:30.92,1377
Man,10000 Metres,25:28.93,1377
Man,3000 Metres,7:09.10,1376
Man,3000 Metres Short Track,7:13.37,1376
Man,2 Miles,7:42.38,1376
Man,2 Miles Short Track,7:50.14,1376
Man,5000 Metres,12:16.20,1376
Man,5000 Metres Short Track,12:31.17,1376
Man,10000 Metres,25:29.52,1376
Man,3000 Metres,7:09.25,1375
Man,3000 Metres Short Track,7:13.52,1375
Man,2 Miles,7:42.54,1375
Man,2 Miles Short Track,7:50.29,1375
Man,5000 Metres,12:16.46,1375
Man,5000 Metres Short Track,12:31.42,1375
Man,10000 Metres,25:30.10,1375
Man,3000 Metres,7:09.40,1374
Man,3000 Metres Short Track,7:13.66,1374
Man,2 Miles,7:42.70,1374
Man,2 Miles Short Track,7:50.45,1374
Man,5000 Metres,12:16.72,1374
Man,5000 Metres Short Track,12:31.67,1374
Man,10000 Metres,25:30.69,1374
Man,3000 Metres,7:09.55,1373
Man,3000 Metres Short Track,7:13.81,1373
Man,2 Miles,7:42.86,1373
Man,2 Miles Short Track,7:50.61,1373
Man,5000 Metres,12:16.97,1373
Man,5000 Metres Short Track,12:31.92,1373
Man,10000 Metres,25:31.28,1373
Man,3000 Metres,7:09.70,1372
Man,3000 Metres Short Track,7:13.96,1372
Man,2 Miles,7:43.02,1372
Man,2 Miles Short Track,7:50.77,1372
Man,5000 Metres,12:17.23,1372
Man,5000 Metres Short Track,12:32.17,1372
Man,10000 Metres,25:31.87,1372
Man,3000 Metres,7:09.85,1371
Man,3000 Metres Short Track,7:14.11,1371
Man,2 Miles,7:43.18,1371
Man,2 Miles Short Track,7:50.93,1371
Man,5000 Metres,12:17.48,1371
Man,5000 Metres Short Track,12:32.42,1371
Man,10000 Metres,25:32.46,1371
Man,3000 Metres,7:10.00,1370
Man,3000 Metres Short Track,7:14.26,1370
Man,2 Miles,7:43.34,1370
Man,2 Miles Short Track,7:51.09,1370
Man,5000 Metres,12:17.74,1370
Man,5000 Metres Short Track,12:32.67,1370
Man,10000 Metres,25:33.05,1370
Man,3000 Metres,7:10.15,1369
Man,3000 Metres Short Track,7:14.40,1369
Man,2 Miles,7:43.51,1369
Man,2 Miles Short Track,7:51.25,1369
Man,5000 Metres,12:18.00,1369
Man,5000 Metres Short Track,12:32.92,1369
Man,10000 Metres,25:33.64,1369
Man,3000 Metres,7:10.30,1368
Man,3000 Metres Short Track,7:14.55,1368
Man,2 Miles,7:43.67,1368
Man,2 Miles Short Track,7:51.41,1368
Man,5000 Metres,12:18.25,1368
Man,5000 Metres Short Track,12:33.17,1368
Man,10000 Metres,25:34.23,1368
Man,3000 Metres,7:10.45,1367
Man,3000 Metres Short Track,7:14.70,1367
Man,2 Miles,7:43.83,1367
Man,2 Miles Short Track,7:51.57,1367
Man,5000 Metres,12:18.51,1367
Man,5000 Metres Short Track,12:33.42,1367
Man,10000 Metres,25:34.82,1367
Man,3000 Metres,7:10.60,1366
Man,3000 Metres Short Track,7:14.85,1366
Man,2 Miles,7:43.99,1366
Man,2 Miles Short Track,7:51.73,1366
Man,5000 Metres,12:18.77,1366
Man,5000 Metres Short Track,12:33.68,1366
Man,10000 Metres,25:35.41,1366
Man,3000 Metres,7:10.75,1365
Man,3000 Metres Short Track,7:15.00,1365
Man,2 Miles,7:44.15,1365
Man,2 Miles Short Track,7:51.89,1365
Man,5000 Metres,12:19.02,1365
Man,5000 Metres Short Track,12:33.93,1365
Man,10000 Metres,25:36.01,1365
Man,3000 Metres,7:10.90,1364
Man,3000 Metres Short Track,7:15.15,1364
Man,2 Miles,7:44.31,1364
Man,2 Miles Short Track,7:52.04,1364
Man,5000 Metres,12:19.28,1364
Man,5000 Metres Short Track,12:34.18,1364
Man,10000 Metres,25:36.60,1364
Man,3000 Metres,7:11.05,1363
Man,3000 Metres Short Track,7:15.29,1363
Man,2 Miles,7:44.47,1363
Man,2 Miles Short Track,7:52.20,1363
Man,5000 Metres,12:19.54,1363
Man,5000 Metres Short Track,12:34.43,1363
Man,10000 Metres,25:37.19,1363
Man,3000 Metres,7:11.20,1362
Man,3000 Metres Short Track,7:15.44,1362
Man,2 Miles,7:44.63,1362
Man,2 Miles Short Track,7:52.36,1362
Man,5000 Metres,12:19.79,1362
Man,5000 Metres Short Track,12:34.68,1362
Man,10000 Metres,25:37.78,1362
Man,3000 Metres,7:11.35,1361
Man,3000 Metres Short Track,7:15.59,1361
